name,genre,type,sum
yojouhan shinwa taike,"mystery, psychological, romance",tv,"yojouhan shinwa taike mystery, psychological, romance tv"
aria the originatio,"fantasy, sci-fi, shounen, slice of life",tv,"aria the originatio fantasy, sci-fi, shounen, slice of life tv"
kamisama hajimemashita: kako-he,"comedy, demons, fantasy, shoujo, supernatural",ova,"kamisama hajimemashita: kako-he comedy, demons, fantasy, shoujo, supernatural ova"
rainbow: nisha rokubou no shichini,"drama, historical, seinen, thriller",tv,"rainbow: nisha rokubou no shichini drama, historical, seinen, thriller tv"
re:zero kara hajimeru isekai seikats,"drama, fantasy, psychological, thriller",tv,"re:zero kara hajimeru isekai seikats drama, fantasy, psychological, thriller tv"
tengen toppa gurren lagann movie: lagann-he,"action, mecha, sci-fi, space, super power",movie,"tengen toppa gurren lagann movie: lagann-he action, mecha, sci-fi, space, super power movie"
zoku natsume yuujincho,"drama, fantasy, shoujo, slice of life, supernatural",tv,"zoku natsume yuujincho drama, fantasy, shoujo, slice of life, supernatural tv"
ano hi mita hana no namae wo bokutachi wa mada shiranai,"drama, slice of life, supernatural",tv,"ano hi mita hana no namae wo bokutachi wa mada shiranai drama, slice of life, supernatural tv"
kuroko no basket 3rd seaso,"comedy, school, shounen, sports",tv,"kuroko no basket 3rd seaso comedy, school, shounen, sports tv"
steins;gate movie: fuka ryouiki no déjà v,"sci-fi, thriller",movie,"steins;gate movie: fuka ryouiki no déjà v sci-fi, thriller movie"
hotarubi no mori ,"drama, romance, shoujo, supernatural",movie,"hotarubi no mori  drama, romance, shoujo, supernatural movie"
shokugeki no soum,"ecchi, school, shounen",tv,"shokugeki no soum ecchi, school, shounen tv"
yuri!!! on ic,"comedy, sports",tv,"yuri!!! on ic comedy, sports tv"
gintama: yorinuki gintama-san on theater 2,"action, comedy, historical, parody, samurai, sci-fi, shounen",movie,"gintama: yorinuki gintama-san on theater 2 action, comedy, historical, parody, samurai, sci-fi, shounen movie"
jojo no kimyou na bouken: stardust crusaders 2nd seaso,"action, adventure, drama, shounen, supernatural",tv,"jojo no kimyou na bouken: stardust crusaders 2nd seaso action, adventure, drama, shounen, supernatural tv"
gintama movie: shinyaku benizakura-he,"action, comedy, historical, parody, samurai, sci-fi, shounen",movie,"gintama movie: shinyaku benizakura-he action, comedy, historical, parody, samurai, sci-fi, shounen movie"
hellsing ultimat,"action, horror, military, seinen, supernatural, vampire",ova,"hellsing ultimat action, horror, military, seinen, supernatural, vampire ova"
kiseijuu: sei no kakurits,"action, drama, horror, psychological, sci-fi, seinen",tv,"kiseijuu: sei no kakurits action, drama, horror, psychological, sci-fi, seinen tv"
shouwa genroku rakugo shinju,"drama, historical, josei",tv,"shouwa genroku rakugo shinju drama, historical, josei tv"
uchuu kyouda,"comedy, sci-fi, seinen, slice of life, space",tv,"uchuu kyouda comedy, sci-fi, seinen, slice of life, space tv"
bakemono no k,"adventure, supernatural",movie,"bakemono no k adventure, supernatural movie"
hotaru no hak,"drama, historical",movie,"hotaru no hak drama, historical movie"
kuroko no basket 2nd seaso,"comedy, school, shounen, sports",tv,"kuroko no basket 2nd seaso comedy, school, shounen, sports tv"
major s,"comedy, drama, romance, sports",tv,"major s comedy, drama, romance, sports tv"
one piec,"action, adventure, comedy, drama, fantasy, shounen, super power",tv,"one piec action, adventure, comedy, drama, fantasy, shounen, super power tv"
ghost in the shell: stand alone complex 2nd gi,"action, mecha, military, mystery, police, sci-fi, seinen",tv,"ghost in the shell: stand alone complex 2nd gi action, mecha, military, mystery, police, sci-fi, seinen tv"
jojo no kimyou na bouken: diamond wa kudakena,"action, adventure, comedy, drama, shounen, supernatural",tv,"jojo no kimyou na bouken: diamond wa kudakena action, adventure, comedy, drama, shounen, supernatural tv"
kara no kyoukai 7: satsujin kousatsu (kou,"action, mystery, romance, supernatural, thriller",movie,"kara no kyoukai 7: satsujin kousatsu (kou action, mystery, romance, supernatural, thriller movie"
kingdom 2nd seaso,"action, historical, military, seinen",tv,"kingdom 2nd seaso action, historical, military, seinen tv"
slam dun,"comedy, drama, school, shounen, sports",tv,"slam dun comedy, drama, school, shounen, sports tv"
usagi dro,"josei, slice of life",tv,"usagi dro josei, slice of life tv"
girls und panzer der fil,"military, school",movie,"girls und panzer der fil military, school movie"
mob psycho 10,"action, comedy, slice of life, supernatural",tv,"mob psycho 10 action, comedy, slice of life, supernatural tv"
nan,"comedy, drama, music, romance, shoujo, slice of life",tv,"nan comedy, drama, music, romance, shoujo, slice of life tv"
baccano,"action, comedy, historical, mystery, seinen, supernatural",tv,"baccano action, comedy, historical, mystery, seinen, supernatural tv"
mushishi zoku shou: odoro no mich,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",special,"mushishi zoku shou: odoro no mich adventure, fantasy, historical, mystery, seinen, slice of life, supernatural special"
shingeki no kyoji,"action, drama, fantasy, shounen, super power",tv,"shingeki no kyoji action, drama, fantasy, shounen, super power tv"
bakuman. 2nd seaso,"comedy, drama, romance, shounen",tv,"bakuman. 2nd seaso comedy, drama, romance, shounen tv"
cross gam,"comedy, drama, romance, school, sports",tv,"cross gam comedy, drama, romance, school, sports tv"
doukyuusei (movie,"romance, school, shounen ai, slice of life",movie,"doukyuusei (movie romance, school, shounen ai, slice of life movie"
evangelion: 2.0 you can (not) advanc,"action, mecha, sci-fi",movie,"evangelion: 2.0 you can (not) advanc action, mecha, sci-fi movie"
shinsekai yor,"drama, horror, mystery, sci-fi, supernatural",tv,"shinsekai yor drama, horror, mystery, sci-fi, supernatural tv"
uchuu senkan yamato 219,"action, drama, military, sci-fi, space",ova,"uchuu senkan yamato 219 action, drama, military, sci-fi, space ova"
chihayafuru ,"drama, game, josei, slice of life, sports",tv,"chihayafuru  drama, game, josei, slice of life, sports tv"
fate/zer,"action, fantasy, supernatural",tv,"fate/zer action, fantasy, supernatural tv"
jojo no kimyou na bouken (tv,"action, adventure, shounen, supernatural, vampire",tv,"jojo no kimyou na bouken (tv action, adventure, shounen, supernatural, vampire tv"
mahou shoujo madoka★magic,"drama, magic, psychological, thriller",tv,"mahou shoujo madoka★magic drama, magic, psychological, thriller tv"
nichijo,"comedy, school, slice of life",tv,"nichijo comedy, school, slice of life tv"
psycho-pas,"action, police, psychological, sci-fi",tv,"psycho-pas action, police, psychological, sci-fi tv"
barakamo,"comedy, slice of life",tv,"barakamo comedy, slice of life tv"
diamond no ace: second seaso,"comedy, school, shounen, sports",tv,"diamond no ace: second seaso comedy, school, shounen, sports tv"
magi: the kingdom of magi,"action, adventure, fantasy, magic, shounen",tv,"magi: the kingdom of magi action, adventure, fantasy, magic, shounen tv"
mahou shoujo madoka★magica movie 3: hangyaku no monogatar,"drama, magic, psychological, thriller",movie,"mahou shoujo madoka★magica movie 3: hangyaku no monogatar drama, magic, psychological, thriller movie"
major: world serie,"comedy, drama, sports",ova,"major: world serie comedy, drama, sports ova"
samurai champlo,"action, adventure, comedy, historical, samurai, shounen",tv,"samurai champlo action, adventure, comedy, historical, samurai, shounen tv"
shokugeki no souma: ni no sar,"ecchi, school, shounen",tv,"shokugeki no souma: ni no sar ecchi, school, shounen tv"
katanagatar,"action, adventure, historical, martial arts, romance",tv,"katanagatar action, adventure, historical, martial arts, romance tv"
mahou shoujo madoka★magica movie 2: eien no monogatar,"drama, magic, psychological, thriller",movie,"mahou shoujo madoka★magica movie 2: eien no monogatar drama, magic, psychological, thriller movie"
major s,"comedy, drama, sports",tv,"major s comedy, drama, sports tv"
mononok,"demons, fantasy, historical, horror, mystery, seinen, supernatural",tv,"mononok demons, fantasy, historical, horror, mystery, seinen, supernatural tv"
shirobak,"comedy, drama",tv,"shirobak comedy, drama tv"
ashita no joe ,"drama, sports",tv,"ashita no joe  drama, sports tv"
hunter x hunte,"action, adventure, shounen, super power",tv,"hunter x hunte action, adventure, shounen, super power tv"
noragami aragot,"action, adventure, shounen, supernatural",tv,"noragami aragot action, adventure, shounen, supernatural tv"
sakamichi no apollo,"drama, josei, music, romance, school",tv,"sakamichi no apollo drama, josei, music, romance, school tv"
tonari no totor,"adventure, comedy, supernatural",movie,"tonari no totor adventure, comedy, supernatural movie"
ghost in the shell: stand alone comple,"action, mecha, military, police, sci-fi, seinen",tv,"ghost in the shell: stand alone comple action, mecha, military, police, sci-fi, seinen tv"
kaze no tani no nausica,"adventure, fantasy",movie,"kaze no tani no nausica adventure, fantasy movie"
no game no lif,"adventure, comedy, ecchi, fantasy, game, supernatural",tv,"no game no lif adventure, comedy, ecchi, fantasy, game, supernatural tv"
romeo no aoi sor,"adventure, drama, historical, slice of life",tv,"romeo no aoi sor adventure, drama, historical, slice of life tv"
yuu☆yuu☆hakush,"action, comedy, demons, fantasy, martial arts, school, shounen",tv,"yuu☆yuu☆hakush action, comedy, demons, fantasy, martial arts, school, shounen tv"
kino no tabi: the beautiful worl,"action, adventure, slice of life",tv,"kino no tabi: the beautiful worl action, adventure, slice of life tv"
kuroko no baske,"comedy, school, shounen, sports",tv,"kuroko no baske comedy, school, shounen, sports tv"
nodame cantabil,"comedy, drama, josei, music, romance, slice of life",tv,"nodame cantabil comedy, drama, josei, music, romance, slice of life tv"
ookami to koushinryou i,"adventure, fantasy, historical, romance",tv,"ookami to koushinryou i adventure, fantasy, historical, romance tv"
shingeki no kyojin: kuinaki sentak,"action, fantasy, shoujo, supernatural",ova,"shingeki no kyojin: kuinaki sentak action, fantasy, shoujo, supernatural ova"
steins;gate: oukoubakko no poriomani,"sci-fi, thriller",special,"steins;gate: oukoubakko no poriomani sci-fi, thriller special"
fate/stay night: unlimited blade works 2nd seaso,"action, fantasy, magic, shounen, supernatural",tv,"fate/stay night: unlimited blade works 2nd seaso action, fantasy, magic, shounen, supernatural tv"
kemono no souja eri,"drama, fantasy",tv,"kemono no souja eri drama, fantasy tv"
kizumonogatari i: tekketsu-he,"mystery, supernatural, vampire",movie,"kizumonogatari i: tekketsu-he mystery, supernatural, vampire movie"
neon genesis evangelion: the end of evangelio,"dementia, drama, mecha, psychological, sci-fi",movie,"neon genesis evangelion: the end of evangelio dementia, drama, mecha, psychological, sci-fi movie"
toradora,"comedy, romance, school, slice of life",tv,"toradora comedy, romance, school, slice of life tv"
toki wo kakeru shouj,"adventure, drama, romance, sci-fi",movie,"toki wo kakeru shouj adventure, drama, romance, sci-fi movie"
tsubasa: tokyo revelation,"action, adventure, drama, fantasy, romance, shounen",ova,"tsubasa: tokyo revelation action, adventure, drama, fantasy, romance, shounen ova"
owarimonogatar,"comedy, mystery, supernatural",tv,"owarimonogatar comedy, mystery, supernatural tv"
rurouni kenshin: meiji kenkaku romanta,"action, adventure, comedy, historical, romance, samurai",tv,"rurouni kenshin: meiji kenkaku romanta action, adventure, comedy, historical, romance, samurai tv"
stranger: mukou hada,"action, adventure, historical, samurai",movie,"stranger: mukou hada action, adventure, historical, samurai movie"
detective conan movie 06: the phantom of baker stree,"adventure, mystery, police, shounen",movie,"detective conan movie 06: the phantom of baker stree adventure, mystery, police, shounen movie"
fate/stay night: unlimited blade work,"action, fantasy, magic, shounen, supernatural",tv,"fate/stay night: unlimited blade work action, fantasy, magic, shounen, supernatural tv"
major s,"comedy, drama, shounen, sports",tv,"major s comedy, drama, shounen, sports tv"
mobile suit gundam: the origi,"action, mecha, military, sci-fi, shounen, space",ova,"mobile suit gundam: the origi action, mecha, military, sci-fi, shounen, space ova"
nanatsu no taiza,"action, adventure, ecchi, fantasy, shounen, supernatural",tv,"nanatsu no taiza action, adventure, ecchi, fantasy, shounen, supernatural tv"
natsume yuujincho,"drama, fantasy, shoujo, slice of life, supernatural",tv,"natsume yuujincho drama, fantasy, shoujo, slice of life, supernatural tv"
one piece film: strong worl,"action, adventure, comedy, drama, fantasy, shounen",movie,"one piece film: strong worl action, adventure, comedy, drama, fantasy, shounen movie"
higurashi no naku koro ni ka,"mystery, psychological, supernatural, thriller",tv,"higurashi no naku koro ni ka mystery, psychological, supernatural, thriller tv"
hunter x hunter ov,"action, adventure, shounen, super power",ova,"hunter x hunter ov action, adventure, shounen, super power ova"
hunter x hunter: greed island fina,"action, adventure, shounen, super power",ova,"hunter x hunter: greed island fina action, adventure, shounen, super power ova"
kuroshitsuji: book of murde,"comedy, demons, fantasy, historical, mystery, shounen, supernatural",ova,"kuroshitsuji: book of murde comedy, demons, fantasy, historical, mystery, shounen, supernatural ova"
major s,"comedy, drama, shounen, sports",tv,"major s comedy, drama, shounen, sports tv"
one out,"psychological, seinen, sports",tv,"one out psychological, seinen, sports tv"
bec,"comedy, drama, music, shounen, slice of life",tv,"bec comedy, drama, music, shounen, slice of life tv"
berser,"action, adventure, demons, drama, fantasy, horror, military, romance, seinen, supernatural",tv,"berser action, adventure, demons, drama, fantasy, horror, military, romance, seinen, supernatural tv"
cowboy bebop: tengoku no tobir,"action, drama, mystery, sci-fi, space",movie,"cowboy bebop: tengoku no tobir action, drama, mystery, sci-fi, space movie"
major s,"drama, shounen, sports",tv,"major s drama, shounen, sports tv"
mobile suit gundam unicor,"action, drama, mecha, military, sci-fi, space",ova,"mobile suit gundam unicor action, drama, mecha, military, sci-fi, space ova"
natsume yuujinchou: itsuka yuki no hi n,"drama, fantasy, shoujo, slice of life, supernatural",ova,"natsume yuujinchou: itsuka yuki no hi n drama, fantasy, shoujo, slice of life, supernatural ova"
nhk ni youkoso,"comedy, drama, psychological, romance",tv,"nhk ni youkoso comedy, drama, psychological, romance tv"
rose of versaille,"adventure, drama, historical, romance, shoujo",tv,"rose of versaille adventure, drama, historical, romance, shoujo tv"
sakurasou no pet na kanoj,"comedy, drama, romance, school, slice of life",tv,"sakurasou no pet na kanoj comedy, drama, romance, school, slice of life tv"
angel beats,"action, comedy, drama, school, supernatural",tv,"angel beats action, comedy, drama, school, supernatural tv"
bakemonogatar,"mystery, romance, supernatural, vampire",tv,"bakemonogatar mystery, romance, supernatural, vampire tv"
bungou stray dogs 2nd seaso,"mystery, seinen, supernatural",tv,"bungou stray dogs 2nd seaso mystery, seinen, supernatural tv"
hajime no ippo: champion roa,"comedy, shounen, sports",special,"hajime no ippo: champion roa comedy, shounen, sports special"
one piece film: ,"action, adventure, comedy, drama, fantasy, shounen",movie,"one piece film:  action, adventure, comedy, drama, fantasy, shounen movie"
ouran koukou host clu,"comedy, harem, romance, school, shoujo",tv,"ouran koukou host clu comedy, harem, romance, school, shoujo tv"
detective conan movie 13: the raven chase,"action, mystery, police, shounen",movie,"detective conan movie 13: the raven chase action, mystery, police, shounen movie"
durarara!,"action, mystery, supernatural",tv,"durarara! action, mystery, supernatural tv"
nodame cantabile final,"comedy, josei, music, romance",tv,"nodame cantabile final comedy, josei, music, romance tv"
planete,"drama, romance, sci-fi, seinen, space",tv,"planete drama, romance, sci-fi, seinen, space tv"
shelte,"music, sci-fi",music,"shelte music, sci-fi music"
tenkuu no shiro laput,"adventure, fantasy, romance, sci-fi",movie,"tenkuu no shiro laput adventure, fantasy, romance, sci-fi movie"
gintama: shiroyasha kouta,"action, comedy, historical, parody, sci-fi",special,"gintama: shiroyasha kouta action, comedy, historical, parody, sci-fi special"
hachimitsu to clover i,"drama, josei, romance",tv,"hachimitsu to clover i drama, josei, romance tv"
inuyasha: kanketsu-he,"action, adventure, comedy, demons, fantasy, magic, romance, shounen, supernatural",tv,"inuyasha: kanketsu-he action, adventure, comedy, demons, fantasy, magic, romance, shounen, supernatural tv"
kaguya-hime no monogatar,"fantasy, historical",movie,"kaguya-hime no monogatar fantasy, historical movie"
katekyo hitman reborn,"action, comedy, shounen, super power",tv,"katekyo hitman reborn action, comedy, shounen, super power tv"
kuroshitsuji: book of circu,"comedy, demons, fantasy, historical, shounen, supernatural",tv,"kuroshitsuji: book of circu comedy, demons, fantasy, historical, shounen, supernatural tv"
ookami to koushinryo,"adventure, fantasy, historical, romance",tv,"ookami to koushinryo adventure, fantasy, historical, romance tv"
boku no hero academi,"action, comedy, school, shounen, super power",tv,"boku no hero academi action, comedy, school, shounen, super power tv"
gin no saji 2nd seaso,"comedy, school, shounen, slice of life",tv,"gin no saji 2nd seaso comedy, school, shounen, slice of life tv"
little busters!: refrai,"comedy, drama, romance, school, slice of life, supernatural",tv,"little busters!: refrai comedy, drama, romance, school, slice of life, supernatural tv"
major: messag,"comedy, drama, sports",ova,"major: messag comedy, drama, sports ova"
saint seiya: the lost canvas - meiou shinwa ,"action, adventure, martial arts, shounen, super power, supernatural",ova,"saint seiya: the lost canvas - meiou shinwa  action, adventure, martial arts, shounen, super power, supernatural ova"
sket danc,"comedy, school, shounen",tv,"sket danc comedy, school, shounen tv"
bakuman,"comedy, romance, shounen",tv,"bakuman comedy, romance, shounen tv"
danshi koukousei no nichijo,"comedy, school, shounen, slice of life",tv,"danshi koukousei no nichijo comedy, school, shounen, slice of life tv"
kotonoha no niw,"drama, psychological, romance, slice of life",movie,"kotonoha no niw drama, psychological, romance, slice of life movie"
kyoukai no kanata movie: i&#039;ll be here - mirai-he,"fantasy, slice of life, supernatural",movie,"kyoukai no kanata movie: i&#039;ll be here - mirai-he fantasy, slice of life, supernatural movie"
major s,"comedy, drama, shounen, sports",tv,"major s comedy, drama, shounen, sports tv"
omoide no marni,"drama, mystery, psychological",movie,"omoide no marni drama, mystery, psychological movie"
working!!!: lord of the takanash,"comedy, romance, slice of life",special,"working!!!: lord of the takanash comedy, romance, slice of life special"
ghost in the shel,"action, mecha, police, psychological, sci-fi, seinen",movie,"ghost in the shel action, mecha, police, psychological, sci-fi, seinen movie"
k-on! movi,"comedy, music, slice of life",movie,"k-on! movi comedy, music, slice of life movie"
kuroko no basket: saikou no present des,"action, school, shounen, sports",special,"kuroko no basket: saikou no present des action, school, shounen, sports special"
mahou shoujo lyrical nanoha: the movie 2nd a&#039;,"action, comedy, drama, magic, super power",movie,"mahou shoujo lyrical nanoha: the movie 2nd a&#039; action, comedy, drama, magic, super power movie"
sennen joyu,"action, adventure, drama, fantasy, historical, romance",movie,"sennen joyu action, adventure, drama, fantasy, historical, romance movie"
steins;gate: kyoukaimenjou no missing link - divide by zer,"sci-fi, thriller",special,"steins;gate: kyoukaimenjou no missing link - divide by zer sci-fi, thriller special"
xxxholic ke,"comedy, drama, mystery, psychological, supernatural",tv,"xxxholic ke comedy, drama, mystery, psychological, supernatural tv"
berserk: ougon jidai-hen iii - kouri,"action, adventure, demons, drama, fantasy, horror, military, seinen, supernatural",movie,"berserk: ougon jidai-hen iii - kouri action, adventure, demons, drama, fantasy, horror, military, seinen, supernatural movie"
death parad,"drama, game, mystery, psychological, thriller",tv,"death parad drama, game, mystery, psychological, thriller tv"
fullmetal alchemis,"action, adventure, comedy, drama, fantasy, magic, military, shounen",tv,"fullmetal alchemis action, adventure, comedy, drama, fantasy, magic, military, shounen tv"
gyakkyou burai kaiji: ultimate survivo,"game, psychological, seinen, thriller",tv,"gyakkyou burai kaiji: ultimate survivo game, psychological, seinen, thriller tv"
hunter x hunter: greed islan,"action, adventure, shounen, super power",ova,"hunter x hunter: greed islan action, adventure, shounen, super power ova"
redlin,"action, cars, sci-fi, sports",movie,"redlin action, cars, sci-fi, sports movie"
chihayafur,"drama, game, josei, slice of life, sports",tv,"chihayafur drama, game, josei, slice of life, sports tv"
detective conan movie 20: the darkest nightmar,"action, mystery, police, shounen",movie,"detective conan movie 20: the darkest nightmar action, mystery, police, shounen movie"
dragon ball ,"action, adventure, comedy, fantasy, martial arts, shounen, super power",tv,"dragon ball  action, adventure, comedy, fantasy, martial arts, shounen, super power tv"
fate/stay night: unlimited blade works - prologu,"action, fantasy, magic, shounen, supernatural",special,"fate/stay night: unlimited blade works - prologu action, fantasy, magic, shounen, supernatural special"
kokoro ga sakebitagatterunda,"drama, romance, school",movie,"kokoro ga sakebitagatterunda drama, romance, school movie"
mimi wo sumaseb,"adventure, drama, fantasy, romance, slice of life",movie,"mimi wo sumaseb adventure, drama, fantasy, romance, slice of life movie"
nagi no asukar,"drama, fantasy, romance",tv,"nagi no asukar drama, fantasy, romance tv"
neon genesis evangelio,"action, dementia, drama, mecha, psychological, sci-fi",tv,"neon genesis evangelio action, dementia, drama, mecha, psychological, sci-fi tv"
one piece film: gol,"action, adventure, comedy, drama, fantasy, shounen",movie,"one piece film: gol action, adventure, comedy, drama, fantasy, shounen movie"
tokyo godfather,"comedy, drama",movie,"tokyo godfather comedy, drama movie"
trigu,"action, comedy, sci-fi",tv,"trigu action, comedy, sci-fi tv"
xxxholic ro,"mystery, supernatural",ova,"xxxholic ro mystery, supernatural ova"
gintama: shinyaku benizakura-he,"action, comedy, historical, parody, samurai, sci-fi, shounen",special,"gintama: shinyaku benizakura-he action, comedy, historical, parody, samurai, sci-fi, shounen special"
mahou shoujo madoka★magica movie 1: hajimari no monogatar,"drama, magic, psychological, thriller",movie,"mahou shoujo madoka★magica movie 1: hajimari no monogatar drama, magic, psychological, thriller movie"
